code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
600235,民丰特纸,造纸,浙江,1048.74,35130.0,35130.0,244893.7,106906.55,120183.15,82903.24,2.36,0.006,3.56,3.53,20000615
600566,济川药业,中成药,湖北,29.51,17063.03,80962.39,458302.59,249352.41,121235.67,157603.77,1.95,0.85,4.2,7.83,20010822
300368,汇金股份,专用机械,河北,1772.13,16079.66,54394.85,155164.77,69596.88,23614.96,22558.47,0.41,0.011000000000000001,1.89,14.12,20140123
601997,贵阳银行,银行,贵州,11.71,50000.0,229859.19,28492688.0,0.0,177319.7,124622.0,0.54,0.6709999999999999,8.54,1.84,20160816
600093,禾嘉股份,汽车配件,四川,33.71,32244.75,112244.75,1018028.81,979781.38,31943.05,403888.31,3.6,0.228,5.22,2.95,19970626
000422,湖北宜化,农药化肥,湖北,193.68,89781.29,89786.67,4162469.25,1459678.13,1890783.25,176477.3,1.97,0.018000000000000002,7.89,0.88,19960815
603798,康普顿,石油加工,山东,54.57,2500.0,10000.0,91166.86,59296.18,10367.66,36293.3,3.63,1.03,7.57,9.11,20160406
002217,合力泰,元器件,山东,30.11,39808.25,142247.42,1231503.88,742041.25,187101.05,357690.69,2.51,0.406,4.28,3.81,20080220
600478,科力远,元器件,湖南,0.0,127503.5,139107.03,457303.09,172825.17,99670.53,12345.36,0.09,-0.046,1.04,10.55,20030918
603738,泰晶科技,元器件,湖北,122.11,1668.0,6668.0,53395.61,31083.01,19625.02,4836.73,0.73,0.371,5.51,16.45,20160928
002811,亚泰国际,装修装饰,深圳,95.11,4500.0,18000.0,236294.0,211036.2,1598.68,61710.43,3.43,0.46,6.76,6.48,20160908
002438,江苏神通,机械基件,江苏,115.42,13507.61,21957.15,191275.66,115492.22,48493.25,62804.38,2.86,0.147,5.45,4.14,20100623
300089,文化长城,陶瓷,广东,340.25,24928.5,43480.01,121672.77,56843.3,15464.69,26089.42,0.6,0.025,2.15,7.94,20100625
603608,天创时尚,服饰,广东,59.31,7000.0,28000.0,177099.95,139577.55,24386.73,84246.36,3.01,0.22,5.25,4.63,20160218
300429,强力新材,化工原料,江苏,93.97,9913.03,25718.59,104571.9,42728.51,24689.77,29792.47,1.16,0.218,2.49,16.44,20150324
600452,涪陵电力,水力发电,重庆,43.34,16000.0,16000.0,235657.47,43768.51,117241.47,27949.1,1.75,0.462,4.44,9.01,20040303
603515,欧普照明,电气设备,上海,63.49,5800.0,57947.91,466552.69,328700.44,100637.22,104745.53,1.81,0.57,5.05,8.66,20160819
603555,贵人鸟,服饰,福建,76.0,11388.5,61400.0,605032.88,344100.81,57592.33,83873.81,1.37,0.29,3.73,7.89,20140124
601688,华泰证券,证券,江苏,25.26,544372.31,716276.88,40267932.0,0.0,338164.91,4583776.0,6.4,0.397,11.0,1.82,20100226
603939,益丰药房,医药商业,湖南,53.98,15600.79,36269.46,266106.94,168273.16,27653.63,72311.3,1.99,0.35,4.76,7.01,20150217
600466,蓝光发展,区域地产,四川,415.13,87593.92,213610.64,6369217.5,5687257.0,88809.43,202821.34,0.95,0.01,3.97,2.02,20010212
000967,盈峰环境,电气设备,浙江,52.69,41015.82,72738.65,583000.75,367496.5,35102.82,181982.81,2.5,0.34,4.76,3.3,20000330
600248,延长化建,建筑施工,陕西,50.15,60760.6,61579.6,518787.84,437995.84,55243.7,49564.95,0.8,0.08900000000000001,3.02,2.96,20000622
002118,紫鑫药业,中成药,吉林,108.9,102543.17,128075.97,638833.69,440596.94,83936.65,215917.63,1.69,0.059000000000000004,2.85,2.99,20070302
300026,红日药业,中成药,天津,30.59,215345.06,301139.63,726321.81,416168.97,101522.61,261714.47,0.87,0.158,1.91,3.38,20091030
300173,智慧松德,轻工机械,广东,116.52,31274.72,58618.05,213722.59,112586.02,14262.07,81742.11,1.39,0.08,2.76,6.76,20110201
300473,德尔股份,汽车配件,辽宁,63.87,4674.83,10000.0,191418.05,149032.56,29737.09,99233.36,9.92,0.897,14.91,5.12,20150612
002507,涪陵榨菜,食品,重庆,29.6,29743.0,52623.82,185070.81,90292.2,73615.56,28441.0,0.54,0.375,2.86,5.17,20101123
000779,三毛派神,纺织,甘肃,0.0,18644.09,18644.09,91195.06,43533.19,41612.19,32181.25,1.73,-0.179,0.92,22.24,19970528
600172,黄河旋风,矿物制品,河南,45.25,64187.39,79239.89,845345.88,287780.22,341486.5,235668.97,2.97,0.322,5.98,3.25,19981126
300379,东方通,软件服务,北京,391.05,6346.39,13807.25,231068.22,133801.52,649.75,129035.75,9.35,0.094,11.98,6.16,20140128
002645,华宏科技,专用机械,江苏,90.71,14372.28,20944.5,177173.77,73256.59,33696.9,107329.63,5.12,0.23399999999999999,7.35,3.85,20111220
600678,四川金顶,水泥,四川,0.0,34899.0,34899.0,35342.05,3659.11,19172.48,30535.36,0.87,-0.048,0.03,583.2,19931008
603067,振华股份,化工原料,湖北,79.86,5500.0,22000.0,128130.22,68429.88,53390.41,41171.1,1.87,0.44,4.73,7.48,20160913
600323,瀚蓝环境,水务,广东,22.36,62871.0,76626.39,1253352.5,197120.38,343344.41,174522.23,2.28,0.342,5.98,2.56,20001225
300281,金明精机,专用机械,广东,116.03,14168.48,24332.35,114636.85,62347.07,30004.18,23829.47,0.98,0.12,3.01,6.18,20111229
600327,大东方,百货,江苏,23.54,52171.17,56716.64,537305.31,244300.8,92686.9,42500.68,0.75,0.33,5.04,1.91,20020625
600360,华微电子,半导体,吉林,144.19,73808.0,73808.0,357725.81,196575.66,118464.86,49220.69,0.67,0.035,2.72,3.72,20010316
600477,杭萧钢构,钢加工,浙江,25.32,80253.07,105714.93,609047.81,505917.06,69621.36,25071.92,0.24,0.27,1.79,5.93,20031110
002227,奥 特 迅,电气设备,深圳,0.0,21956.91,22049.93,95967.65,68225.86,15175.65,30923.49,1.4,-0.039,3.52,8.27,20080506
300042,朗科科技,电脑设备,深圳,122.04,11185.86,13360.0,89914.0,64096.01,4773.21,60245.71,4.51,0.14800000000000002,6.46,5.59,20100108
000950,*ST建峰,农药化肥,重庆,0.0,59879.92,59879.92,561675.94,89352.85,407710.72,107012.7,1.79,-0.9159999999999999,1.93,4.57,19990916
002447,壹桥股份,渔业,辽宁,353.24,58034.69,95245.2,316450.34,74497.86,195264.84,47029.37,0.49,0.013999999999999999,2.48,3.97,20100713
002569,步森股份,服饰,浙江,0.0,13749.57,14001.0,64842.11,50837.35,9910.32,31881.38,2.28,-0.19899999999999998,3.5,13.64,20110412
300209,天泽信息,软件服务,江苏,167.56,21071.24,29212.23,230402.02,107378.4,12020.58,148182.86,5.07,0.1,6.59,4.06,20110426
300512,中亚股份,专用机械,浙江,78.48,6750.0,27000.0,184584.69,153445.59,10500.62,70340.71,2.61,0.285,4.64,9.66,20160526
600936,广西广电,影视音像,广西,64.78,30000.0,167102.63,557745.69,129443.47,285125.06,2530.36,0.02,0.114,1.58,9.37,20160815
300217,东方电热,电器仪表,江苏,124.52,87022.14,127349.36,217797.09,160161.92,40639.25,4206.16,0.03,0.019,1.4,3.44,20110518
300258,精锻科技,汽车配件,江苏,34.34,37465.44,40500.0,200490.05,64222.68,105168.88,35061.7,0.87,0.33799999999999997,3.46,4.47,20110826
600186,莲花健康,食品,河南,0.0,106202.42,106202.42,241568.5,95905.61,43757.34,31854.78,0.3,-0.005,0.08,71.82,19980825
002299,圣农发展,农业综合,福建,43.52,90025.59,111090.0,1095797.38,228600.63,762221.75,395571.63,3.56,0.45299999999999996,5.16,5.09,20091021
600695,绿庭投资,多元金融,上海,0.0,36646.71,71113.21,110949.61,40900.96,7121.25,38475.9,0.54,-0.019,0.94,9.87,19931122
603818,曲美家居,家居用品,北京,50.74,13160.79,48412.0,165145.67,102696.31,38207.93,32885.01,0.68,0.275,2.75,6.78,20150422
002167,东方锆业,小金属,广东,2053.06,47198.51,62094.6,285967.97,95617.21,80366.3,59816.32,0.96,0.005,1.71,7.77,20070913
002287,奇正藏药,中成药,西藏,56.11,40600.0,40600.0,202165.22,128416.61,27841.95,41094.12,1.01,0.496,4.05,9.15,20090828
000408,*ST金源,商贸代理,河北,242.53,25230.15,207223.16,15583.05,15583.05,0.0,14367.8,0.07,0.28,0.59,28.7,19960628
002524,光正集团,供气供热,新疆,0.0,50098.89,50333.28,173197.41,43981.05,77134.3,25351.9,0.5,-0.077,1.38,7.18,20101217
600110,诺德股份,电气设备,吉林,394.57,115031.21,115031.21,541484.94,272628.47,184001.75,67816.81,0.59,0.024,1.62,7.69,19971007
002749,国光股份,农药化肥,四川,34.59,1875.0,7500.0,94251.02,65487.46,1714.98,33063.55,4.41,1.382,11.47,8.33,20150320
600777,新潮能源,综合类,山东,0.0,62542.32,106611.49,697554.44,372059.63,8297.67,428540.91,4.02,-0.04,5.16,3.18,19961121
601015,陕西黑猫,焦炭加工,陕西,85.75,44400.0,93000.0,974065.38,401650.75,352949.16,64488.21,0.69,0.076,2.79,3.13,20141105
300061,康耐特,医疗保健,上海,140.39,14443.62,25008.01,89562.0,56309.63,27127.1,5070.49,0.2,0.10800000000000001,1.87,16.17,20100319
002742,三圣股份,其他建材,重庆,41.06,7095.75,21600.0,259576.7,142586.5,56149.76,46837.19,2.17,0.284,5.79,4.03,20150217
002215,诺 普 信,农药化肥,深圳,243.57,69253.59,91407.64,333295.66,160278.63,23382.89,36963.85,0.4,0.021,2.09,4.97,20080218
002592,八菱科技,汽车配件,广西,75.23,12877.49,28333.11,260376.8,123010.8,25211.0,119789.11,4.23,0.22399999999999998,7.09,4.76,20111111
000858,五 粮 液,白酒,四川,17.25,379575.59,379596.69,5996292.5,5216259.5,517872.19,95325.56,0.25,1.024,11.64,3.04,19980427
600821,津劝业,百货,天津,1196.79,41626.82,41626.82,197725.38,33895.48,78080.97,17866.24,0.43,0.005,1.46,8.23,19940128
002281,光迅科技,通信设备,湖北,56.69,20349.85,20972.85,477334.19,397932.63,66777.1,149212.16,7.11,1.008,13.21,5.77,20090821
300292,吴通控股,通信设备,江苏,54.55,58202.48,127485.04,303658.81,95826.53,19197.4,180728.56,1.42,0.102,1.98,5.64,20120229
300319,麦捷科技,元器件,深圳,83.62,12331.57,21187.48,221760.3,120125.57,28047.3,86083.77,4.06,0.2,6.07,5.69,20120523
300065,海兰信,软件服务,北京,160.86,17987.38,24156.06,157744.73,99035.57,7990.52,79040.56,3.27,0.124,5.0,7.99,20100326
002195,二三四五,软件服务,上海,48.73,81967.4,191046.55,655605.13,365571.19,17136.76,342558.81,1.79,0.121,3.26,3.63,20071212
000951,中国重汽,汽车整车,山东,29.31,67084.28,67108.07,1809383.25,1586362.5,151043.84,43243.28,0.64,0.239,6.91,2.03,19991125
002484,江海股份,元器件,江苏,74.5,48992.91,62704.26,213152.59,127419.07,55604.13,48039.12,0.77,0.09699999999999999,3.2,4.49,20100929
600237,铜峰电子,元器件,安徽,0.0,56436.96,56436.96,232312.59,127968.92,83846.03,83744.9,1.48,-0.054000000000000006,2.48,3.82,20000609
300348,长亮科技,软件服务,深圳,732.92,14168.3,29224.0,106357.27,47411.26,6381.18,30835.15,1.06,0.021,2.4,12.81,20120817
002513,*ST蓝丰,农药化肥,江苏,50.39,21302.64,34008.62,419169.56,124256.07,168335.98,181164.13,5.33,0.258,7.33,2.36,20101203
002324,普利特,塑料,上海,25.46,15873.49,27000.0,300814.25,182860.41,69208.15,57870.07,2.14,0.615,7.36,4.25,20091218
002530,丰东股份,专用机械,江苏,719.18,26800.0,26800.0,102632.78,59580.3,21352.35,21020.18,0.78,0.038,2.61,14.01,20101231
300453,三鑫医疗,医疗保健,江西,112.91,6540.7,15872.0,60231.8,29172.5,15048.8,16244.6,1.02,0.121,3.37,8.07,20150515
